판매일자,상품명,카테고리,판매수량,단가,실판매금액
2026-08-19,크루아상,빵,64,4500,288000
2026-08-19,소금빵,빵,83,3000,249000
2026-08-19,식빵,빵,31,5000,155000
2026-08-20,크루아상,빵,69,4500,310500
2026-08-20,소금빵,빵,52,3000,156000
2026-08-20,식빵,빵,29,5000,145000
2026-08-21,크루아상,빵,79,4500,355500
2026-08-21,소금빵,빵,58,3000,174000
2026-08-21,식빵,빵,34,5000,170000
2026-08-22,크루아상,빵,97,4500,436500
2026-08-22,소금빵,빵,72,3000,216000
2026-08-22,식빵,빵,42,5000,210000
2026-08-23,크루아상,빵,42,4500,189000
2026-08-23,소금빵,빵,32,3000,96000
2026-08-23,식빵,빵,20,5000,100000
2026-08-24,크루아상,빵,63,4500,283500
2026-08-24,소금빵,빵,48,3000,144000
2026-08-24,식빵,빵,27,5000,135000
2026-08-25,크루아상,빵,65,4500,292500
2026-08-25,소금빵,빵,50,3000,150000
2026-08-25,식빵,빵,29,5000,145000
2026-08-26,크루아상,빵,67,4500,301500
2026-08-26,소금빵,빵,52,3000,156000
2026-08-26,식빵,빵,31,5000,155000
2026-08-27,크루아상,빵,70,4500,315000
2026-08-27,소금빵,빵,55,3000,165000
2026-08-27,식빵,빵,33,5000,165000
2026-08-28,크루아상,빵,80,4500,360000
2026-08-28,소금빵,빵,60,3000,180000
2026-08-28,식빵,빵,36,5000,180000
2026-08-29,크루아상,빵,98,4500,441000
2026-08-29,소금빵,빵,75,3000,225000
2026-08-29,식빵,빵,44,5000,220000
2026-08-30,크루아상,빵,43,4500,193500
2026-08-30,소금빵,빵,33,3000,99000
2026-08-30,식빵,빵,21,5000,105000
2026-08-31,크루아상,빵,66,4500,297000
2026-08-31,소금빵,빵,49,3000,147000
2026-08-31,식빵,빵,28,5000,140000
2026-09-01,크루아상,빵,68,4500,306000
2026-09-01,소금빵,빵,51,3000,153000
2026-09-01,식빵,빵,30,5000,150000
2026-09-02,크루아상,빵,70,4500,315000
2026-09-02,소금빵,빵,54,3000,162000
2026-09-02,식빵,빵,32,5000,160000
2026-09-03,크루아상,빵,72,4500,324000
2026-09-03,소금빵,빵,56,3000,168000
2026-09-03,식빵,빵,34,5000,170000
2026-09-04,크루아상,빵,82,4500,369000
2026-09-04,소금빵,빵,61,3000,183000
2026-09-04,식빵,빵,37,5000,185000
2026-09-05,크루아상,빵,100,4500,450000
2026-09-05,소금빵,빵,77,3000,231000
2026-09-05,식빵,빵,45,5000,225000
2026-09-06,크루아상,빵,44,4500,198000
2026-09-06,소금빵,빵,34,3000,102000
2026-09-06,식빵,빵,22,5000,110000
2026-09-07,크루아상,빵,67,4500,301500
2026-09-07,소금빵,빵,50,3000,150000
2026-09-07,식빵,빵,29,5000,145000
2026-09-08,크루아상,빵,69,4500,310500
2026-09-08,소금빵,빵,52,3000,156000
2026-09-08,식빵,빵,31,5000,155000
2026-09-09,크루아상,빵,71,4500,319500
2026-09-09,소금빵,빵,55,3000,165000
2026-09-09,식빵,빵,33,5000,165000
2026-09-10,크루아상,빵,73,4500,328500
2026-09-10,소금빵,빵,57,3000,171000
2026-09-10,식빵,빵,35,5000,175000
2026-09-11,크루아상,빵,83,4500,373500
2026-09-11,소금빵,빵,62,3000,186000
2026-09-11,식빵,빵,38,5000,190000
2026-09-12,크루아상,빵,101,4500,454500
2026-09-12,소금빵,빵,78,3000,234000
2026-09-12,식빵,빵,46,5000,230000
2026-09-13,크루아상,빵,45,4500,202500
2026-09-13,소금빵,빵,35,3000,105000
2026-09-13,식빵,빵,23,5000,115000
2026-09-14,크루아상,빵,68,4500,306000
2026-09-14,소금빵,빵,51,3000,153000
2026-09-14,식빵,빵,30,5000,150000
2026-09-15,크루아상,빵,70,4500,315000
2026-09-15,소금빵,빵,53,3000,159000
2026-09-15,식빵,빵,32,5000,160000
2026-09-16,크루아상,빵,72,4500,324000
2026-09-16,소금빵,빵,56,3000,168000
2026-09-16,식빵,빵,34,5000,170000
2026-09-17,크루아상,빵,74,4500,333000
2026-09-17,소금빵,빵,58,3000,174000
2026-09-17,식빵,빵,36,5000,180000
